config_name,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,fpr,fpr_std,fnr,fnr_std,auc_roc,auc_roc_std,exec_time_s,exec_time_s_std,architecture,dropout,activation,ae_n_layers,ae_hidden_0,ae_hidden_1,ae_latent,lr,weight_decay,optimizer,batch_size,ae_hidden_2,ae_hidden_3,mlp_n_layers,mlp_hidden_0,mlp_hidden_1,mlp_hidden_2,mlp_hidden_3,mlp_hidden_4
IP2Vec+PCA,0.573823,0.139218,0.178135,0.020356,0.236884,0.044601,0.177795,0.050112,0.34181,0.312207,0.208351,0.113662,0.821827,0.091433,44.293854,10.494466,autoencoder,0.003818,leakyrelu,2.0,128.0,128.0,128.0,0.011382,0.001357,Adam,256,,,,,,,,
IP2Vec+NoPCA,0.446402,0.096952,0.132824,0.057686,0.163862,0.039308,0.097345,0.018579,0.258683,0.383199,0.649687,0.43546,0.733218,0.032081,50.285095,15.29581,autoencoder,0.341489,silu,4.0,256.0,256.0,32.0,0.028458,0.004369,Adam,512,128.0,64.0,,,,,,
NoIP2Vec+PCA,0.420529,0.121087,0.150347,0.088402,0.235947,0.133938,0.142702,0.097184,0.556265,0.406551,0.28977,0.370558,0.814408,0.03735,48.058553,13.22377,autoencoder,0.236107,leakyrelu,4.0,128.0,256.0,32.0,0.012345,0.001043,Adam,512,128.0,64.0,,,,,,
NoIP2Vec+NoPCA,0.543943,0.068718,0.192011,0.086375,0.254099,0.07573,0.194997,0.081393,0.311245,0.246541,0.274322,0.322325,0.8031,0.053923,59.108824,16.986097,mlp,0.216753,silu,,,,,0.006598,0.00055,Adam,512,,,5.0,1024.0,1024.0,128.0,128.0,1024.0
