config_name,ip2vec_sentence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,fpr,fpr_std,fnr,fnr_std,auc_roc,auc_roc_std,exec_time_s,exec_time_s_std,architecture,dropout,activation,resnet_n_blocks,resnet_hidden_0,resnet_hidden_1,resnet_hidden_2,resnet_hidden_3,resnet_hidden_4,resnet_hidden_5,lr,weight_decay,optimizer,batch_size,momentum
IP2Vec+PCA,Dst Port | Protocol | Src Region,0.9993091401791465,0.00035349914656918405,0.9693998302910831,0.01455871070547273,0.9774606923297929,0.015098868179587834,0.9730247393086598,0.01391515458548577,0.0004215846729801213,0.00022947748228924778,0.007086614173228346,0.004757104714013611,0.9941640899731136,0.006295919726476456,92.01692771911621,23.885847653486124,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
IP2Vec+NoPCA,Dst Port | Protocol | Src Region,0.9996095137691163,0.00016724417867450131,0.9864899407297193,0.004597123834162603,0.9800826366841109,0.010651712896945944,0.9829513008269565,0.0070873520557356165,0.00015614265207908106,6.982802663602537e-05,0.005511811023622047,0.0031496062992125984,0.9969989549814227,0.003928520635118947,90.06144881248474,24.69363671165729,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
NoIP2Vec+PCA,N/A,0.9996695896149562,6.0077820480275823e-05,0.9917075627934073,0.007316610231357431,0.9859935692685685,0.010783388802247959,0.9882748056706777,0.002673967585446443,0.00010929936882195915,0.00010589908597810544,0.003937007874015748,0.0032939371123388798,0.9980686973611563,0.003321989494987726,135.35084915161133,37.67364387047991,resnet,0.07800932022121826,leakyrelu,5,128,512,256,512,256,,0.0019941407595954063,7.122305833333861e-07,SGD,256,0.8984275776885255
NoIP2Vec+NoPCA,N/A,0.999774718397715,8.22694469931258e-05,0.9951075689114732,0.004066967247502627,0.9865895269728338,0.010833711086062866,0.9902497166967198,0.0044605199794861584,6.245608556483722e-05,5.8422318475664634e-05,0.003937007874015748,0.0032939371123388798,0.9961925994165017,0.004108565241374285,91.01547694206238,25.09720319500283,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
