paradigm,config_name,ip2vec_sentence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,fpr,fpr_std,fnr,fnr_std,auc_roc,auc_roc_std,exec_time_s,exec_time_s_std,architecture,dropout,activation,resnet_n_blocks,resnet_hidden_0,resnet_hidden_1,resnet_hidden_2,resnet_hidden_3,resnet_hidden_4,resnet_hidden_5,lr,weight_decay,optimizer,batch_size,momentum,display_name
centralized,IP2Vec+PCA,Dst Port | Protocol | Src Region,0.9993091401791464,0.0003534991465691,0.9693998302910832,0.0145587107054727,0.9774606923297928,0.0150988681795878,0.9730247393086598,0.0139151545854857,0.0004215846729801,0.0002294774822892,0.0070866141732283,0.0047571047140136,0.9941640899731136,0.0062959197264764,94.29654741287231,24.44136329128658,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+PCA (C)
centralized,IP2Vec+NoPCA,Dst Port | Protocol | Src Region,0.9996095137691164,0.0001672441786745,0.9864899407297192,0.0045971238341626,0.9800826366841108,0.0106517128969459,0.9829513008269564,0.0070873520557356,0.000156142652079,6.982802663602537e-05,0.005511811023622,0.0031496062992125,0.9969989549814228,0.0039285206351189,89.62340188026428,24.67264599074001,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+NoPCA (C)
centralized,NoIP2Vec+PCA,,0.9996695896149562,6.0077820480275823e-05,0.9917075627934072,0.0073166102313574,0.9859935692685684,0.0107833888022479,0.9882748056706776,0.0026739675854464,0.0001092993688219,0.0001058990859781,0.0039370078740157,0.0032939371123388,0.9980686973611564,0.0033219894949877,135.68138313293457,37.71018816385176,resnet,0.0780093202212182,leakyrelu,5,128,512,256,512,256,,0.0019941407595954,7.122305833333861e-07,SGD,256,0.8984275776885255,NoIP2Vec+PCA (C)
centralized,NoIP2Vec+NoPCA,,0.999774718397715,8.22694469931258e-05,0.9951075689114732,0.0040669672475026,0.9865895269728338,0.0108337110860628,0.9902497166967198,0.0044605199794861,6.245608556483722e-05,5.842231847566464e-05,0.0039370078740157,0.0032939371123388,0.9961925994165016,0.0041085652413742,92.57997035980225,25.593168005442447,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,NoIP2Vec+NoPCA (C)
federated,IP2Vec+PCA,,0.961852697310288,1.1458915513351545e-06,0.137407528187184,1.636987930431211e-07,0.1428571428571428,0.0,0.1400793529254483,8.50634634841363e-08,0.0,0.0,1.0,0.0,0.8150982100810964,0.0672518730164568,262.7705705165863,65.21188210415947,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+PCA (F)
federated,IP2Vec+NoPCA,,0.9629340219329507,0.0017611592269632,0.1909166847969005,0.0794619656841794,0.2132088334805174,0.1063755671452056,0.2003143086683535,0.0903145681103895,0.0002654383636505,0.0005308767273011,0.944488188976378,0.0623540518014311,0.8728099784291347,0.0349531391669543,270.13829278945923,66.03488756190896,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+NoPCA (F)
federated,NoIP2Vec+PCA,,0.9625133613097792,0.0136365058922683,0.2535686297405491,0.0993654399570729,0.3322311735168158,0.0742604101370441,0.2669318602917297,0.0951251879161735,0.0071982442857046,0.0051670486255698,0.8007874015748031,0.2605198759043376,0.6924609993322278,0.1919050178435765,393.34155440330505,101.67159525686348,resnet,0.0780093202212182,leakyrelu,5,128,512,256,512,256,,0.0019941407595954,7.122305833333861e-07,SGD,256,0.8984275776885255,NoIP2Vec+PCA (F)
federated,NoIP2Vec+NoPCA,,0.9624834880523776,0.000601335851608,0.1863047371020513,0.0511194524252043,0.2042779773661932,0.0483050880010052,0.1901635301314486,0.0434488343254284,9.368412834725584e-05,0.0001873682566945,0.9440944881889765,0.0403154219953915,0.8222741209181921,0.0624076268704522,328.09114718437195,93.30904570724748,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,NoIP2Vec+NoPCA (F)
