paradigm,config_name,ip2vec_sentence,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,fpr,fpr_std,fnr,fnr_std,auc_roc,auc_roc_std,exec_time_s,exec_time_s_std,architecture,dropout,activation,resnet_n_blocks,resnet_hidden_0,resnet_hidden_1,resnet_hidden_2,resnet_hidden_3,resnet_hidden_4,resnet_hidden_5,lr,weight_decay,optimizer,batch_size,momentum,display_name
centralized,IP2Vec+PCA,Dst Port | Protocol | Src Region,0.9993091401791464,0.0003534991465691,0.9693998302910832,0.0145587107054727,0.9774606923297928,0.0150988681795878,0.9730247393086598,0.0139151545854857,0.0004215846729801,0.0002294774822892,0.0070866141732283,0.0047571047140136,0.9941640899731136,0.0062959197264764,95.74836325645448,25.04239560062477,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+PCA (C)
centralized,IP2Vec+NoPCA,Dst Port | Protocol | Src Region,0.9996095137691164,0.0001672441786745,0.9864899407297192,0.0045971238341626,0.9800826366841108,0.0106517128969459,0.9829513008269564,0.0070873520557356,0.000156142652079,6.982802663602537e-05,0.005511811023622,0.0031496062992125,0.9969989549814228,0.0039285206351189,93.68389201164246,25.7806617484835,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+NoPCA (C)
centralized,NoIP2Vec+PCA,,0.9996695896149562,6.0077820480275823e-05,0.9917075627934072,0.0073166102313574,0.9859935692685684,0.0107833888022479,0.9882748056706776,0.0026739675854464,0.0001092993688219,0.0001058990859781,0.0039370078740157,0.0032939371123388,0.9980686973611564,0.0033219894949877,137.45739674568176,38.02985356139046,resnet,0.0780093202212182,leakyrelu,5,128,512,256,512,256,,0.0019941407595954,7.122305833333861e-07,SGD,256,0.8984275776885255,NoIP2Vec+PCA (C)
centralized,NoIP2Vec+NoPCA,,0.999774718397715,8.22694469931258e-05,0.9951075689114732,0.0040669672475026,0.9865895269728338,0.0108337110860628,0.9902497166967198,0.0044605199794861,6.245608556483722e-05,5.842231847566464e-05,0.0039370078740157,0.0032939371123388,0.9961925994165016,0.0041085652413742,93.4955668449402,25.630368232828065,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,NoIP2Vec+NoPCA (C)
federated,IP2Vec+PCA,,0.9621230284659538,0.0005409499220343,0.1624506969408484,0.0500863784322779,0.1701231784064167,0.0545320710985478,0.1661855015599284,0.0522123185348911,4.684206417362792e-05,9.368412834725586e-05,0.991732283464567,0.0165354330708661,0.8141012544307958,0.1151121766739619,261.940309047699,76.77426292364773,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+PCA (F)
federated,IP2Vec+NoPCA,,0.966193014198476,0.0088698362946781,0.1747758656853084,0.0643681604911931,0.1934730348892265,0.0732752531132166,0.1807441268579503,0.0663698569334239,0.0002342103208681,0.0004684206417362,0.8452755905511811,0.2612927793641322,0.9001429089351138,0.0758926116081774,270.9407649040222,70.8158581962876,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,IP2Vec+NoPCA (F)
federated,NoIP2Vec+PCA,,0.9273837640205076,0.052441007792909,0.2327122441127775,0.1092095169790284,0.3329270281933257,0.1106804772544465,0.2378970499708231,0.1055748920325862,0.0487648819007988,0.0586619661661886,0.5503937007874016,0.3514506751098282,0.8406391273842179,0.150091344626304,389.4365220069885,117.75490374743492,resnet,0.0780093202212182,leakyrelu,5,128,512,256,512,256,,0.0019941407595954,7.122305833333861e-07,SGD,256,0.8984275776885255,NoIP2Vec+PCA (F)
federated,NoIP2Vec+NoPCA,,0.9621380513748748,0.0003437638799563,0.1589137931984531,0.0201577427151975,0.168603077161258,0.0284587239629258,0.1632521375479827,0.0233734939193623,1.5614021391209306e-05,3.122804278241861e-05,0.9704724409448818,0.0252705614738286,0.842452595967238,0.0991833171290882,323.6743965148926,93.52832195197846,resnet,0.0077283082644337,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204,3.217966164978632e-05,AdamW,512,,NoIP2Vec+NoPCA (F)
