config_name,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,fpr,fpr_std,fnr,fnr_std,auc_roc,auc_roc_std,exec_time_s,exec_time_s_std,architecture,dropout,activation,resnet_n_blocks,resnet_hidden_0,resnet_hidden_1,resnet_hidden_2,resnet_hidden_3,resnet_hidden_4,resnet_hidden_5,lr,weight_decay,optimizer,batch_size,momentum
IP2Vec+PCA,0.9618526973102881,1.1458915513351543e-06,0.137407528187184,1.6369879304312108e-07,0.14285714285714285,0.0,0.14007935292544832,8.50634634841363e-08,0.0,0.0,1.0,0.0,0.8150982100810964,0.0672518730164568,262.7705705165863,65.21188210415947,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
IP2Vec+NoPCA,0.9629340219329509,0.0017611592269632164,0.19091668479690052,0.07946196568417949,0.21320883348051742,0.10637556714520566,0.2003143086683535,0.09031456811038953,0.0002654383636505582,0.0005308767273011164,0.944488188976378,0.0623540518014311,0.8728099784291347,0.034953139166954354,270.13829278945923,66.03488756190896,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
NoIP2Vec+PCA,0.9625133613097793,0.01363650589226836,0.25356862974054917,0.0993654399570729,0.3322311735168158,0.07426041013704414,0.2669318602917297,0.09512518791617351,0.007198244285704603,0.005167048625569853,0.8007874015748031,0.2605198759043376,0.6924609993322278,0.1919050178435765,393.34155440330505,101.67159525686348,resnet,0.07800932022121826,leakyrelu,5,128,512,256,512,256,,0.0019941407595954063,7.122305833333861e-07,SGD,256,0.8984275776885255
NoIP2Vec+NoPCA,0.9624834880523776,0.0006013358516080424,0.18630473710205134,0.05111945242520436,0.20427797736619321,0.048305088001005254,0.1901635301314486,0.04344883432542848,9.368412834725583e-05,0.00018736825669451172,0.9440944881889763,0.040315421995391544,0.8222741209181921,0.06240762687045224,328.09114718437195,93.30904570724748,resnet,0.007728308264433714,leakyrelu,6,256,256,512,256,128,512.0,0.0010260025763204998,3.217966164978632e-05,AdamW,512,
